v1	V(n001)	I(D1)
-5.999999999999886e-02	-6.000000e-02	-1.849602e-09
-5.989999999999886e-02	-5.990000e-02	-1.848121e-09
-5.979999999999885e-02	-5.980000e-02	-1.846636e-09
-5.969999999999885e-02	-5.970000e-02	-1.845148e-09
-5.959999999999885e-02	-5.960000e-02	-1.843657e-09
-5.949999999999885e-02	-5.950000e-02	-1.842163e-09
-5.939999999999884e-02	-5.940000e-02	-1.840665e-09
-5.929999999999884e-02	-5.930000e-02	-1.839164e-09
-5.919999999999884e-02	-5.920000e-02	-1.837660e-09
-5.909999999999883e-02	-5.910000e-02	-1.836152e-09
-5.899999999999883e-02	-5.900000e-02	-1.834641e-09
-5.889999999999883e-02	-5.890000e-02	-1.833127e-09
-5.879999999999883e-02	-5.880000e-02	-1.831609e-09
-5.869999999999882e-02	-5.870000e-02	-1.830088e-09
-5.859999999999882e-02	-5.860000e-02	-1.828564e-09
-5.849999999999882e-02	-5.850000e-02	-1.827036e-09
-5.839999999999881e-02	-5.840000e-02	-1.825505e-09
-5.829999999999881e-02	-5.830000e-02	-1.823971e-09
-5.819999999999881e-02	-5.820000e-02	-1.822433e-09
-5.809999999999881e-02	-5.810000e-02	-1.820891e-09
-5.799999999999880e-02	-5.800000e-02	-1.819347e-09
-5.789999999999880e-02	-5.790000e-02	-1.817799e-09
-5.779999999999880e-02	-5.780000e-02	-1.816247e-09
-5.769999999999879e-02	-5.770000e-02	-1.814692e-09
-5.759999999999879e-02	-5.760000e-02	-1.813134e-09
-5.749999999999879e-02	-5.750000e-02	-1.811572e-09
-5.739999999999879e-02	-5.740000e-02	-1.810007e-09
-5.729999999999878e-02	-5.730000e-02	-1.808438e-09
-5.719999999999878e-02	-5.720000e-02	-1.806866e-09
-5.709999999999878e-02	-5.710000e-02	-1.805290e-09
-5.699999999999877e-02	-5.700000e-02	-1.803711e-09
-5.689999999999877e-02	-5.690000e-02	-1.802128e-09
-5.679999999999877e-02	-5.680000e-02	-1.800542e-09
-5.669999999999877e-02	-5.670000e-02	-1.798952e-09
-5.659999999999876e-02	-5.660000e-02	-1.797359e-09
-5.649999999999876e-02	-5.650000e-02	-1.795763e-09
-5.639999999999876e-02	-5.640000e-02	-1.794162e-09
